StudentID,CourseID,FirstName,LastName,Email,Phone,CurrentYear,AvgAttendance,AvgGrade,CourseAvgAttendance,Grade,NumCurUnits
1,COS10001,Jackson,Wyatt,jacksonwyatt@student.uni.edu.au,047905806,1,1.0,73.53,0.25,54.84,4
1,STA10001,Jackson,Wyatt,jacksonwyatt@student.uni.edu.au,047905806,1,1.0,73.53,0.25,51.07,4
1,STA20001,Jackson,Wyatt,jacksonwyatt@student.uni.edu.au,047905806,1,1.0,73.53,0.5,96.18,4
1,STA30001,Jackson,Wyatt,jacksonwyatt@student.uni.edu.au,047905806,1,1.0,73.53,0.5,95.63,4
2,COS10001,Scarlett,William,scarlettwilliam@student.uni.edu.au,049873498,1,0.58,80.77,0.75,82.12,4
2,STA10001,Scarlett,William,scarlettwilliam@student.uni.edu.au,049873498,1,0.58,80.77,0.25,66.02,4
2,STA20001,Scarlett,William,scarlettwilliam@student.uni.edu.au,049873498,1,0.58,80.77,0.5,69.11,4
2,STA30001,Scarlett,William,scarlettwilliam@student.uni.edu.au,049873498,1,0.58,80.77,1.0,80.61,4
3,COS10001,Avery,William,averywilliam@student.uni.edu.au,040945440,2,0.92,84.11,0.5,50.88,2
3,STA10001,Avery,William,averywilliam@student.uni.edu.au,040945440,2,0.92,84.11,0.75,99.94,2
4,COS10001,Wyatt,Harper,wyattharper@student.uni.edu.au,041181056,2,0.48,63.18,0.5,90.74,4
4,STA10001,Wyatt,Harper,wyattharper@student.uni.edu.au,041181056,2,0.48,63.18,0.75,94.73,4
4,STA20001,Wyatt,Harper,wyattharper@student.uni.edu.au,041181056,2,0.48,63.18,0.75,62.97,4
4,STA30001,Wyatt,Harper,wyattharper@student.uni.edu.au,041181056,2,0.48,63.18,0.25,68.77,4
5,COS10001,Jackson,Mason,jacksonmason@student.uni.edu.au,043629645,3,0.79,59.09,0.5,72.25,3
5,STA10001,Jackson,Mason,jacksonmason@student.uni.edu.au,043629645,3,0.79,59.09,1.0,95.66,3
5,STA20001,Jackson,Mason,jacksonmason@student.uni.edu.au,043629645,3,0.79,59.09,1.0,53.64,3
6,COS10001,Mason,Evelyn,masonevelyn@student.uni.edu.au,043421650,2,0.92,94.47,0.75,51.6,4
6,STA10001,Mason,Evelyn,masonevelyn@student.uni.edu.au,043421650,2,0.92,94.47,0.5,55.03,4
6,STA20001,Mason,Evelyn,masonevelyn@student.uni.edu.au,043421650,2,0.92,94.47,0.75,93.19,4
6,STA30001,Mason,Evelyn,masonevelyn@student.uni.edu.au,043421650,2,0.92,94.47,1.0,87.94,4
7,COS10001,Jack,Harper,jackharper@student.uni.edu.au,046807384,2,1.0,63.4,1.0,86.89,3
7,STA10001,Jack,Harper,jackharper@student.uni.edu.au,046807384,2,1.0,63.4,0.25,60.12,3
7,STA20001,Jack,Harper,jackharper@student.uni.edu.au,046807384,2,1.0,63.4,1.0,73.54,3
8,COS10001,William,Jack,williamjack@student.uni.edu.au,045530132,3,0.51,76.79,0.25,91.9,4
8,STA10001,William,Jack,williamjack@student.uni.edu.au,045530132,3,0.51,76.79,0.5,61.73,4
8,STA20001,William,Jack,williamjack@student.uni.edu.au,045530132,3,0.51,76.79,0.5,67.78,4
8,STA30001,William,Jack,williamjack@student.uni.edu.au,045530132,3,0.51,76.79,1.0,69.73,4
9,COS10001,Jack,Wyatt,jackwyatt@student.uni.edu.au,048150716,2,0.77,63.44,0.25,97.4,4
9,STA10001,Jack,Wyatt,jackwyatt@student.uni.edu.au,048150716,2,0.77,63.44,1.0,80.2,4
9,STA20001,Jack,Wyatt,jackwyatt@student.uni.edu.au,048150716,2,0.77,63.44,0.5,57.86,4
9,STA30001,Jack,Wyatt,jackwyatt@student.uni.edu.au,048150716,2,0.77,63.44,0.75,78.19,4
10,COS10001,Ella,William,ellawilliam@student.uni.edu.au,041146080,3,0.94,57.1,0.75,57.44,2
10,STA10001,Ella,William,ellawilliam@student.uni.edu.au,041146080,3,0.94,57.1,0.25,73.85,2
11,COS10001,Evelyn,Eleanor,evelyneleanor@student.uni.edu.au,047147599,1,0.83,75.91,0.5,50.98,3
11,STA10001,Evelyn,Eleanor,evelyneleanor@student.uni.edu.au,047147599,1,0.83,75.91,0.75,88.79,3
11,STA20001,Evelyn,Eleanor,evelyneleanor@student.uni.edu.au,047147599,1,0.83,75.91,1.0,90.34,3
12,COS10001,William,Ella,williamella@student.uni.edu.au,048075642,3,0.33,85.78,1.0,80.06,4
12,STA10001,William,Ella,williamella@student.uni.edu.au,048075642,3,0.33,85.78,0.75,56.84,4
12,STA20001,William,Ella,williamella@student.uni.edu.au,048075642,3,0.33,85.78,1.0,86.53,4
12,STA30001,William,Ella,williamella@student.uni.edu.au,048075642,3,0.33,85.78,0.75,58.44,4
13,COS10001,Wyatt,Avery,wyattavery@student.uni.edu.au,048346214,2,0.48,57.75,0.75,66.79,3
13,STA10001,Wyatt,Avery,wyattavery@student.uni.edu.au,048346214,2,0.48,57.75,1.0,54.49,3
13,STA20001,Wyatt,Avery,wyattavery@student.uni.edu.au,048346214,2,0.48,57.75,0.75,81.5,3
14,COS10001,Avery,Jackson,averyjackson@student.uni.edu.au,043793443,1,0.33,60.26,0.25,85.82,4
14,STA10001,Avery,Jackson,averyjackson@student.uni.edu.au,043793443,1,0.33,60.26,0.25,77.68,4
14,STA20001,Avery,Jackson,averyjackson@student.uni.edu.au,043793443,1,0.33,60.26,0.5,86.2,4
14,STA30001,Avery,Jackson,averyjackson@student.uni.edu.au,043793443,1,0.33,60.26,0.25,56.31,4
15,COS10001,Harper,Jackson,harperjackson@student.uni.edu.au,044785663,2,0.75,67.89,0.25,65.71,3
15,STA10001,Harper,Jackson,harperjackson@student.uni.edu.au,044785663,2,0.75,67.89,0.75,58.23,3
15,STA20001,Harper,Jackson,harperjackson@student.uni.edu.au,044785663,2,0.75,67.89,0.75,52.53,3
16,COS10001,Jackson,James,jacksonjames@student.uni.edu.au,042614306,3,0.33,72.68,0.25,71.05,4
16,STA10001,Jackson,James,jacksonjames@student.uni.edu.au,042614306,3,0.33,72.68,0.75,97.25,4
16,STA20001,Jackson,James,jacksonjames@student.uni.edu.au,042614306,3,0.33,72.68,1.0,62.26,4
16,STA30001,Jackson,James,jacksonjames@student.uni.edu.au,042614306,3,0.33,72.68,0.5,81.45,4
17,COS10001,Mason,Scarlett,masonscarlett@student.uni.edu.au,043893591,3,0.82,76.38,0.5,56.74,4
17,STA10001,Mason,Scarlett,masonscarlett@student.uni.edu.au,043893591,3,0.82,76.38,0.75,84.32,4
17,STA20001,Mason,Scarlett,masonscarlett@student.uni.edu.au,043893591,3,0.82,76.38,0.25,78.62,4
17,STA30001,Mason,Scarlett,masonscarlett@student.uni.edu.au,043893591,3,0.82,76.38,0.25,87.58,4
18,COS10001,Evelyn,Harper,evelynharper@student.uni.edu.au,047768243,2,0.79,91.36,0.25,60.66,3
18,STA10001,Evelyn,Harper,evelynharper@student.uni.edu.au,047768243,2,0.79,91.36,1.0,88.39,3
18,STA20001,Evelyn,Harper,evelynharper@student.uni.edu.au,047768243,2,0.79,91.36,0.5,86.56,3
19,COS10001,Evelyn,Eleanor,evelyneleanor@student.uni.edu.au,045222553,3,0.42,72.6,0.75,62.52,2
19,STA10001,Evelyn,Eleanor,evelyneleanor@student.uni.edu.au,045222553,3,0.42,72.6,0.25,84.39,2
20,COS10001,Harper,Ella,harperella@student.uni.edu.au,049746750,3,0.6,74.62,0.5,88.17,2
20,STA10001,Harper,Ella,harperella@student.uni.edu.au,049746750,3,0.6,74.62,0.25,84.68,2
21,COS10001,Mason,Harper,masonharper@student.uni.edu.au,045690572,3,1.0,76.78,0.5,53.77,2
21,STA10001,Mason,Harper,masonharper@student.uni.edu.au,045690572,3,1.0,76.78,0.75,67.62,2
22,COS10001,Mason,William,masonwilliam@student.uni.edu.au,043159395,2,0.31,93.88,0.25,92.24,3
22,STA10001,Mason,William,masonwilliam@student.uni.edu.au,043159395,2,0.31,93.88,0.25,85.61,3
22,STA20001,Mason,William,masonwilliam@student.uni.edu.au,043159395,2,0.31,93.88,0.25,72.51,3
23,COS10001,Jackson,Avery,jacksonavery@student.uni.edu.au,041052469,2,0.77,56.92,0.5,78.72,3
